Entry(0): Poverty: 2.4, State: Utah, County: Morgan County, Income: 86071, Total Pop: 11014
Entry(1387): Poverty: 14.2, State: Georgia, County: Jones County, Income: 55110, Total Pop: 28540
Entry(1388): Poverty: 14.2, State: New Jersey, County: Salem County, Income: 63934, Total Pop: 63776
Entry(1389): Poverty: 14.2, State: Ohio, County: Ashland County, Income: 50893, Total Pop: 53299
Entry(1390): Poverty: 14.2, State: Oklahoma, County: Washita County, Income: 51909, Total Pop: 11550
Entry(1391): Poverty: 14.2, State: South Dakota, County: Hyde County, Income: 53696, Total Pop: 1373
Entry(1392): Poverty: 14.2, State: Tennessee, County: Montgomery County, Income: 53737, Total Pop: 192120
Entry(1393): Poverty: 14.2, State: Vermont, County: Orleans County, Income: 45664, Total Pop: 26951
Entry(1394): Poverty: 14.3, State: Missouri, County: Bates County, Income: 45605, Total Pop: 16405
Entry(1395): Poverty: 14.3, State: Texas, County: Grayson County, Income: 52683, Total Pop: 126146
Entry(1396): Poverty: 14.3, State: North Carolina, County: Granville County, Income: 52089, Total Pop: 58503
Entry(1397): Poverty: 14.3, State: Maine, County: Androscoggin County, Income: 49538, Total Pop: 107317
Entry(1398): Poverty: 14.3, State: Kansas, County: Chautauqua County, Income: 39531, Total Pop: 3425
Entry(1399): Poverty: 14.3, State: Illinois, County: Cumberland County, Income: 50680, Total Pop: 10899
Entry(1400): Poverty: 14.3, State: Georgia, County: Banks County, Income: 42182, Total Pop: 18363
Entry(1401): Poverty: 14.3, State: Colorado, County: Yuma County, Income: 44668, Total Pop: 10109
Entry(1402): Poverty: 14.3, State: Washington, County: Skagit County, Income: 59263, Total Pop: 121725
Entry(1403): Poverty: 14.3, State: Texas, County: Bell County, Income: 52583, Total Pop: 336506
Entry(1404): Poverty: 14.3, State: Oklahoma, County: Lincoln County, Income: 47539, Total Pop: 34759
Entry(1405): Poverty: 14.3, State: Nebraska, County: Dawes County, Income: 46146, Total Pop: 8972
Entry(1406): Poverty: 14.3, State: Illinois, County: Clark County, Income: 52068, Total Pop: 15924
Entry(1407): Poverty: 14.3, State: Florida, County: Hernando County, Income: 44324, Total Pop: 179144
Entry(1408): Poverty: 14.3, State: Maine, County: Waldo County, Income: 50162, Total Pop: 39280
Entry(1409): Poverty: 14.3, State: Wisconsin, County: Juneau County, Income: 48817, Total Pop: 26427
Entry(1410): Poverty: 14.3, State: Wisconsin, County: Rock County, Income: 53410, Total Pop: 161226
Entry(1411): Poverty: 14.4, State: Tennessee, County: Sequatchie County, Income: 51312, Total Pop: 14654
Entry(1412): Poverty: 14.4, State: Wisconsin, County: La Crosse County, Income: 54127, Total Pop: 117582
Entry(1413): Poverty: 14.4, State: Washington, County: Walla Walla County, Income: 52630, Total Pop: 59862
Entry(1414): Poverty: 14.4, State: Nebraska, County: Buffalo County, Income: 55053, Total Pop: 48834
Entry(1415): Poverty: 14.4, State: Alabama, County: Coosa County, Income: 34792, Total Pop: 10955
Entry(1416): Poverty: 14.4, State: Pennsylvania, County: Northumberland County, Income: 44534, Total Pop: 93038
Entry(1417): Poverty: 14.4, State: Michigan, County: Baraga County, Income: 42757, Total Pop: 8580
Entry(1418): Poverty: 14.4, State: Idaho, County: Twin Falls County, Income: 49118, Total Pop: 82248
Entry(1419): Poverty: 14.4, State: Arkansas, County: Grant County, Income: 49968, Total Pop: 18076
Entry(1420): Poverty: 14.4, State: Wyoming, County: Weston County, Income: 59605, Total Pop: 7117
Entry(1421): Poverty: 14.4, State: Tennessee, County: Fayette County, Income: 57919, Total Pop: 39336
Entry(1422): Poverty: 14.4, State: Pennsylvania, County: Potter County, Income: 41406, Total Pop: 17070
Entry(1423): Poverty: 14.4, State: New Mexico, County: Santa Fe County, Income: 57945, Total Pop: 147514
Entry(1424): Poverty: 14.4, State: Missouri, County: Polk County, Income: 44805, Total Pop: 31347
Entry(1425): Poverty: 14.4, State: Michigan, County: Delta County, Income: 44639, Total Pop: 36395
Entry(1426): Poverty: 14.4, State: Idaho, County: Nez Perce County, Income: 51804, Total Pop: 40014
Entry(1427): Poverty: 14.4, State: Iowa, County: Mahaska County, Income: 50568, Total Pop: 22301
Entry(1428): Poverty: 14.4, State: Pennsylvania, County: Cameron County, Income: 40402, Total Pop: 4754
Entry(1429): Poverty: 14.4, State: Virginia, County: Appomattox County, Income: 54875, Total Pop: 15462
Entry(1430): Poverty: 14.5, State: Wisconsin, County: Eau Claire County, Income: 52178, Total Pop: 102388
Entry(1431): Poverty: 14.5, State: Washington, County: Columbia County, Income: 46250, Total Pop: 3999
Entry(1432): Poverty: 14.5, State: Tennessee, County: Dickson County, Income: 47398, Total Pop: 51341
Entry(1433): Poverty: 14.5, State: Ohio, County: Portage County, Income: 53816, Total Pop: 162080
Entry(1434): Poverty: 14.5, State: Idaho, County: Bear Lake County, Income: 50603, Total Pop: 5942
Entry(1435): Poverty: 14.5, State: Pennsylvania, County: Crawford County, Income: 47179, Total Pop: 86847
Entry(1436): Poverty: 14.5, State: New York, County: Steuben County, Income: 50157, Total Pop: 97539
Entry(1437): Poverty: 14.5, State: Minnesota, County: Winona County, Income: 53975, Total Pop: 50992
Entry(1438): Poverty: 14.5, State: Indiana, County: Perry County, Income: 49689, Total Pop: 19229
Entry(1439): Poverty: 14.5, State: Michigan, County: Keweenaw County, Income: 41118, Total Pop: 2136
Entry(1440): Poverty: 14.5, State: Kentucky, County: Woodford County, Income: 60604, Total Pop: 25817
Entry(1441): Poverty: 14.5, State: Wisconsin, County: Kenosha County, Income: 57269, Total Pop: 167886
Entry(1442): Poverty: 14.5, State: New York, County: Chenango County, Income: 48567, Total Pop: 48763
Entry(1443): Poverty: 14.5, State: Michigan, County: Washtenaw County, Income: 65618, Total Pop: 361509
Entry(1444): Poverty: 14.5, State: Illinois, County: McLean County, Income: 64573, Total Pop: 173231
Entry(1445): Poverty: 14.5, State: Kansas, County: Stafford County, Income: 47121, Total Pop: 4251
Entry(1446): Poverty: 14.5, State: Missouri, County: Carter County, Income: 37875, Total Pop: 6255
Entry(1447): Poverty: 14.5, State: North Carolina, County: Johnston County, Income: 54610, Total Pop: 186308
Entry(1448): Poverty: 14.5, State: Tennessee, County: Hamilton County, Income: 50273, Total Pop: 354589
Entry(1449): Poverty: 14.6, State: Texas, County: Atascosa County, Income: 55194, Total Pop: 48139
Entry(1450): Poverty: 14.6, State: Wisconsin, County: Burnett County, Income: 45891, Total Pop: 15239
Entry(1451): Poverty: 14.6, State: Wisconsin, County: Ashland County, Income: 41505, Total Pop: 15779
Entry(1452): Poverty: 14.6, State: South Dakota, County: Brule County, Income: 50870, Total Pop: 5280
Entry(1453): Poverty: 14.6, State: New York, County: Livingston County, Income: 53654, Total Pop: 64373
Entry(1454): Poverty: 14.6, State: New Mexico, County: Eddy County, Income: 60703, Total Pop: 56793
Entry(1455): Poverty: 14.6, State: Nevada, County: Clark County, Income: 54882, Total Pop: 2112436
Entry(1456): Poverty: 14.6, State: California, County: Lassen County, Income: 54083, Total Pop: 31470
Entry(1457): Poverty: 14.6, State: Virginia, County: Carroll County, Income: 41145, Total Pop: 29767
Entry(1458): Poverty: 14.6, State: Tennessee, County: Tipton County, Income: 57212, Total Pop: 61434
Entry(1459): Poverty: 14.6, State: Montana, County: Powell County, Income: 44352, Total Pop: 6852
Entry(1460): Poverty: 14.6, State: Florida, County: Escambia County, Income: 47361, Total Pop: 309924
Entry(1461): Poverty: 14.6, State: Illinois, County: Rock Island County, Income: 51426, Total Pop: 146205
Entry(1462): Poverty: 14.6, State: Virginia, County: Washington County, Income: 44844, Total Pop: 54457
Entry(1463): Poverty: 14.7, State: West Virginia, County: Jackson County, Income: 41731, Total Pop: 29123
Entry(1464): Poverty: 14.7, State: New York, County: Cortland County, Income: 52451, Total Pop: 48334
Entry(1465): Poverty: 14.7, State: Kansas, County: Sedgwick County, Income: 52841, Total Pop: 510484
Entry(1466): Poverty: 14.7, State: California, County: Santa Cruz County, Income: 73663, Total Pop: 273263
Entry(1467): Poverty: 14.7, State: Arizona, County: Yavapai County, Income: 48259, Total Pop: 220972
Entry(1468): Poverty: 14.7, State: Virginia, County: Pittsylvania County, Income: 44356, Total Pop: 61970
Entry(1469): Poverty: 14.7, State: Oklahoma, County: Marshall County, Income: 45671, Total Pop: 16226
Entry(1470): Poverty: 14.7, State: New Mexico, County: Sandoval County, Income: 60345, Total Pop: 138815
Entry(1471): Poverty: 14.7, State: Nevada, County: Carson City, Income: 49341, Total Pop: 54219
Entry(1472): Poverty: 14.7, State: Indiana, County: Allen County, Income: 51091, Total Pop: 367747
Entry(1473): Poverty: 14.7, State: Oregon, County: Morrow County, Income: 54386, Total Pop: 11153
Entry(1474): Poverty: 14.7, State: Illinois, County: Perry County, Income: 45864, Total Pop: 21467
Entry(1475): Poverty: 14.7, State: California, County: Monterey County, Income: 63249, Total Pop: 433168
Entry(1476): Poverty: 14.7, State: Ohio, County: Clinton County, Income: 49997, Total Pop: 41869
Entry(1477): Poverty: 14.7, State: North Carolina, County: Alexander County, Income: 44523, Total Pop: 37159
Entry(1478): Poverty: 14.7, State: Montana, County: Fergus County, Income: 47110, Total Pop: 11327
Entry(1479): Poverty: 14.7, State: Michigan, County: Manistee County, Income: 44882, Total Pop: 24432
Entry(1480): Poverty: 14.7, State: Idaho, County: Cassia County, Income: 48162, Total Pop: 23472
Entry(1481): Poverty: 14.7, State: Georgia, County: Towns County, Income: 41182, Total Pop: 11173
Entry(1482): Poverty: 14.7, State: Mississippi, County: George County, Income: 47640, Total Pop: 23545
Entry(1483): Poverty: 14.7, State: North Carolina, County: Avery County, Income: 37109, Total Pop: 17535
Entry(1484): Poverty: 14.7, State: Texas, County: Knox County, Income: 46319, Total Pop: 3753
Entry(1485): Poverty: 14.8, State: Kansas, County: Mitchell County, Income: 44591, Total Pop: 6230
Entry(1486): Poverty: 14.8, State: Texas, County: Sherman County, Income: 54961, Total Pop: 3067
Entry(1487): Poverty: 14.8, State: Pennsylvania, County: Greene County, Income: 50972, Total Pop: 37338
Entry(1488): Poverty: 14.8, State: West Virginia, County: Hardy County, Income: 42573, Total Pop: 13812
Entry(1489): Poverty: 14.8, State: Virginia, County: Franklin County, Income: 51208, Total Pop: 56277
Entry(1490): Poverty: 14.8, State: Texas, County: Victoria County, Income: 55740, Total Pop: 91518
Entry(1491): Poverty: 14.8, State: Ohio, County: Carroll County, Income: 51748, Total Pop: 27825
Entry(1492): Poverty: 14.8, State: Idaho, County: Blaine County, Income: 58835, Total Pop: 21583
Entry(1493): Poverty: 14.8, State: Colorado, County: Huerfano County, Income: 35801, Total Pop: 6498
Entry(1494): Poverty: 14.8, State: Virginia, County: Dinwiddie County, Income: 54640, Total Pop: 28033
Entry(1495): Poverty: 14.8, State: Texas, County: Fannin County, Income: 47875, Total Pop: 33787
Entry(1496): Poverty: 14.8, State: Alabama, County: Limestone County, Income: 52831, Total Pop: 91695
Entry(1497): Poverty: 14.8, State: Kentucky, County: Hickman County, Income: 38036, Total Pop: 4625
Entry(1498): Poverty: 14.8, State: New York, County: Jefferson County, Income: 50322, Total Pop: 116567
Entry(1499): Poverty: 14.8, State: New York, County: Monroe County, Income: 55272, Total Pop: 748680
Entry(1500): Poverty: 14.8, State: West Virginia, County: Mineral County, Income: 40749, Total Pop: 27421
Entry(1501): Poverty: 14.8, State: Wisconsin, County: Langlade County, Income: 44122, Total Pop: 19190
Entry(1502): Poverty: 14.9, State: Wyoming, County: Uinta County, Income: 54672, Total Pop: 20758
Entry(1503): Poverty: 14.9, State: Virginia, County: Hampton city, Income: 52021, Total Pop: 136255
Entry(1504): Poverty: 14.9, State: Texas, County: Mills County, Income: 46318, Total Pop: 4887
Entry(1505): Poverty: 14.9, State: New York, County: Herkimer County, Income: 49077, Total Pop: 62943
Entry(1506): Poverty: 14.9, State: Michigan, County: Otsego County, Income: 50823, Total Pop: 24247
Entry(1507): Poverty: 14.9, State: Illinois, County: Pike County, Income: 41387, Total Pop: 15930
Entry(1508): Poverty: 14.9, State: Florida, County: Lee County, Income: 52052, Total Pop: 700165
Entry(1509): Poverty: 14.9, State: Kansas, County: Geary County, Income: 46096, Total Pop: 35796
Entry(1510): Poverty: 14.9, State: Illinois, County: Morgan County, Income: 49353, Total Pop: 34442
Entry(1511): Poverty: 14.9, State: Wyoming, County: Niobrara County, Income: 36793, Total Pop: 2479
Entry(1512): Poverty: 14.9, State: Washington, County: Klickitat County, Income: 51258, Total Pop: 21172
Entry(1513): Poverty: 14.9, State: Texas, County: Hockley County, Income: 49184, Total Pop: 23273
Entry(1514): Poverty: 14.9, State: Texas, County: Gray County, Income: 48314, Total Pop: 22962
Entry(1515): Poverty: 14.9, State: Texas, County: Donley County, Income: 44429, Total Pop: 3433
Entry(1516): Poverty: 14.9, State: New York, County: Erie County, Income: 54006, Total Pop: 923995
Entry(1517): Poverty: 14.9, State: New York, County: Onondaga County, Income: 57271, Total Pop: 467669
Entry(1518): Poverty: 14.9, State: Michigan, County: Presque Isle County, Income: 43758, Total Pop: 12854
Entry(1519): Poverty: 14.9, State: Michigan, County: Alcona County, Income: 39424, Total Pop: 10413
Entry(1520): Poverty: 14.9, State: Florida, County: Gulf County, Income: 44647, Total Pop: 16018
Entry(1521): Poverty: 14.9, State: Idaho, County: Elmore County, Income: 45154, Total Pop: 26232
Entry(1522): Poverty: 14.9, State: Illinois, County: Scott County, Income: 48542, Total Pop: 5109
Entry(1523): Poverty: 14.9, State: Indiana, County: Benton County, Income: 49183, Total Pop: 8685
Entry(1524): Poverty: 14.9, State: Iowa, County: Monona County, Income: 41598, Total Pop: 8865
Entry(1525): Poverty: 14.9, State: Virginia, County: Nelson County, Income: 53834, Total Pop: 14863
Entry(1526): Poverty: 14.9, State: West Virginia, County: Doddridge County, Income: 44437, Total Pop: 8570
Entry(1527): Poverty: 15.0, State: South Dakota, County: Fall River County, Income: 48862, Total Pop: 6783
Entry(1528): Poverty: 15.0, State: Oklahoma, County: Pawnee County, Income: 46460, Total Pop: 16448
Entry(1529): Poverty: 15.0, State: Ohio, County: Allen County, Income: 47905, Total Pop: 104157
Entry(1530): Poverty: 15.0, State: Nevada, County: Pershing County, Income: 52308, Total Pop: 6661
Entry(1531): Poverty: 15.0, State: Michigan, County: Alpena County, Income: 40954, Total Pop: 28730
Entry(1532): Poverty: 15.0, State: Illinois, County: Richland County, Income: 46454, Total Pop: 15953
Entry(1533): Poverty: 15.0, State: West Virginia, County: Harrison County, Income: 48315, Total Pop: 68438
Entry(1534): Poverty: 15.0, State: Tennessee, County: Franklin County, Income: 46882, Total Pop: 41397
Entry(1535): Poverty: 15.0, State: Ohio, County: Coshocton County, Income: 43251, Total Pop: 36602
Entry(1536): Poverty: 15.0, State: Minnesota, County: Wadena County, Income: 45018, Total Pop: 13626
Entry(1537): Poverty: 15.0, State: Kentucky, County: Jefferson County, Income: 52237, Total Pop: 764378
Entry(1538): Poverty: 15.0, State: Texas, County: Franklin County, Income: 43967, Total Pop: 10639
Entry(1539): Poverty: 15.0, State: Kentucky, County: Clark County, Income: 51547, Total Pop: 35757
Entry(1540): Poverty: 15.0, State: Georgia, County: Chattahoochee County, Income: 46096, Total Pop: 11096
Entry(1541): Poverty: 15.0, State: Texas, County: Collingsworth County, Income: 46348, Total Pop: 3026
Entry(1542): Poverty: 15.0, State: Texas, County: Clay County, Income: 46863, Total Pop: 10369
Entry(1543): Poverty: 15.0, State: Oklahoma, County: Blaine County, Income: 46362, Total Pop: 9680
Entry(1544): Poverty: 15.0, State: Michigan, County: Sanilac County, Income: 44417, Total Pop: 41535
Entry(1545): Poverty: 15.0, State: Indiana, County: Orange County, Income: 42803, Total Pop: 19623
Entry(1546): Poverty: 15.0, State: Minnesota, County: Ramsey County, Income: 60301, Total Pop: 537893
Entry(1547): Poverty: 15.0, State: Missouri, County: Worth County, Income: 48214, Total Pop: 2053
Entry(1548): Poverty: 15.1, State: Oklahoma, County: Stephens County, Income: 44805, Total Pop: 44293
Entry(1549): Poverty: 15.1, State: Missouri, County: Pike County, Income: 45112, Total Pop: 18517
Entry(1550): Poverty: 15.1, State: Texas, County: Burleson County, Income: 52510, Total Pop: 17596
Entry(1551): Poverty: 15.1, State: North Carolina, County: Pamlico County, Income: 45211, Total Pop: 12803
Entry(1552): Poverty: 15.1, State: Kentucky, County: Pendleton County, Income: 49706, Total Pop: 14530
Entry(1553): Poverty: 15.1, State: Iowa, County: Cass County, Income: 45637, Total Pop: 13327
Entry(1554): Poverty: 15.1, State: California, County: Mariposa County, Income: 51385, Total Pop: 17658
Entry(1555): Poverty: 15.1, State: Mississippi, County: Greene County, Income: 48029, Total Pop: 13801
Entry(1556): Poverty: 15.1, State: Colorado, County: Denver County, Income: 60098, Total Pop: 678467
Entry(1557): Poverty: 15.1, State: Illinois, County: Kankakee County, Income: 56542, Total Pop: 110801
Entry(1558): Poverty: 15.1, State: Michigan, County: Montmorency County, Income: 39152, Total Pop: 9290
Entry(1559): Poverty: 15.2, State: Washington, County: Spokane County, Income: 52159, Total Pop: 490764
Entry(1560): Poverty: 15.2, State: Utah, County: Cache County, Income: 53812, Total Pop: 120288
Entry(1561): Poverty: 15.2, State: Oklahoma, County: Creek County, Income: 47147, Total Pop: 70899
Entry(1562): Poverty: 15.2, State: North Carolina, County: Lincoln County, Income: 50782, Total Pop: 80504
Entry(1563): Poverty: 15.2, State: Kentucky, County: Trimble County, Income: 50998, Total Pop: 8697
Entry(1564): Poverty: 15.2, State: Iowa, County: Jefferson County, Income: 44516, Total Pop: 17945
Entry(1565): Poverty: 15.2, State: Illinois, County: Williamson County, Income: 48600, Total Pop: 67477
Entry(1566): Poverty: 15.2, State: Virginia, County: Wythe County, Income: 46119, Total Pop: 29048
Entry(1567): Poverty: 15.2, State: Tennessee, County: Coffee County, Income: 46614, Total Pop: 54074
Entry(1568): Poverty: 15.2, State: Pennsylvania, County: Luzerne County, Income: 49290, Total Pop: 318222
Entry(1569): Poverty: 15.2, State: Missouri, County: Lewis County, Income: 47148, Total Pop: 10078
Entry(1570): Poverty: 15.2, State: Michigan, County: Jackson County, Income: 49715, Total Pop: 158989
Entry(1571): Poverty: 15.2, State: Alabama, County: Bibb County, Income: 43404, Total Pop: 22580
Entry(1572): Poverty: 15.2, State: Wisconsin, County: Iron County, Income: 39855, Total Pop: 5748
Entry(1573): Poverty: 15.2, State: West Virginia, County: Marshall County, Income: 42473, Total Pop: 32006
Entry(1574): Poverty: 15.2, State: Texas, County: San Patricio County, Income: 53332, Total Pop: 66867
Entry(1575): Poverty: 15.2, State: Michigan, County: Dickinson County, Income: 45681, Total Pop: 25694
Entry(1576): Poverty: 15.2, State: Wisconsin, County: Rusk County, Income: 41930, Total Pop: 14211
Entry(1577): Poverty: 15.2, State: Ohio, County: Seneca County, Income: 49153, Total Pop: 55549
Entry(1578): Poverty: 15.2, State: Maine, County: Oxford County, Income: 44582, Total Pop: 57230
Entry(1579): Poverty: 15.2, State: Missouri, County: Vernon County, Income: 41479, Total Pop: 20665
Entry(1580): Poverty: 15.2, State: Pennsylvania, County: Blair County, Income: 45664, Total Pop: 124736
Entry(1581): Poverty: 15.2, State: Texas, County: Robertson County, Income: 52189, Total Pop: 16727
Entry(1582): Poverty: 15.2, State: West Virginia, County: Preston County, Income: 46673, Total Pop: 33760
Entry(1583): Poverty: 15.3, State: Washington, County: Whatcom County, Income: 56419, Total Pop: 212738
Entry(1584): Poverty: 15.3, State: Oregon, County: Crook County, Income: 41777, Total Pop: 21717
Entry(1585): Poverty: 15.3, State: New Jersey, County: Atlantic County, Income: 57514, Total Pop: 272926
Entry(1586): Poverty: 15.3, State: Minnesota, County: Cass County, Income: 50162, Total Pop: 28810
Entry(1587): Poverty: 15.3, State: Wisconsin, County: Grant County, Income: 50522, Total Pop: 51742
Entry(1588): Poverty: 15.3, State: West Virginia, County: Tucker County, Income: 43294, Total Pop: 7035
Entry(1589): Poverty: 15.3, State: Oregon, County: Baker County, Income: 43765, Total Pop: 15980
Entry(1590): Poverty: 15.3, State: Texas, County: Hays County, Income: 62815, Total Pop: 194843
Entry(1591): Poverty: 15.3, State: South Dakota, County: Gregory County, Income: 42679, Total Pop: 4209
Entry(1592): Poverty: 15.3, State: Iowa, County: Des Moines County, Income: 47524, Total Pop: 39876
Entry(1593): Poverty: 15.3, State: New York, County: Schuyler County, Income: 47810, Total Pop: 18112
Entry(1594): Poverty: 15.3, State: Iowa, County: Calhoun County, Income: 46302, Total Pop: 9814
Entry(1595): Poverty: 15.3, State: Idaho, County: Lewis County, Income: 40313, Total Pop: 3824
Entry(1596): Poverty: 15.3, State: Illinois, County: Winnebago County, Income: 51110, Total Pop: 287512
Entry(1597): Poverty: 15.3, State: Mississippi, County: Jackson County, Income: 50274, Total Pop: 141314
Entry(1598): Poverty: 15.3, State: Missouri, County: Clark County, Income: 45216, Total Pop: 6807
Entry(1599): Poverty: 15.3, State: Pennsylvania, County: Clearfield County, Income: 45188, Total Pop: 80539
Entry(1600): Poverty: 15.3, State: South Carolina, County: Charleston County, Income: 57882, Total Pop: 387847
Entry(1601): Poverty: 15.3, State: Tennessee, County: Sevier County, Income: 44473, Total Pop: 95523
Entry(1602): Poverty: 15.3, State: Texas, County: Panola County, Income: 49704, Total Pop: 23574
Entry(1603): Poverty: 15.3, State: Wisconsin, County: Vilas County, Income: 42720, Total Pop: 21465
Entry(1604): Poverty: 15.4, State: Texas, County: Madison County, Income: 44004, Total Pop: 13979
Entry(1605): Poverty: 15.4, State: Oregon, County: Polk County, Income: 56032, Total Pop: 79666
Entry(1606): Poverty: 15.4, State: North Carolina, County: Craven County, Income: 49391, Total Pop: 103374
Entry(1607): Poverty: 15.4, State: New Mexico, County: Lincoln County, Income: 42145, Total Pop: 19497
Entry(1608): Poverty: 15.4, State: Michigan, County: Mackinac County, Income: 42559, Total Pop: 10836
Entry(1609): Poverty: 15.4, State: Pennsylvania, County: Lackawanna County, Income: 48380, Total Pop: 211960
Entry(1610): Poverty: 15.4, State: Minnesota, County: Stevens County, Income: 57552, Total Pop: 9759
Entry(1611): Poverty: 15.4, State: Iowa, County: Clarke County, Income: 49718, Total Pop: 9267
Entry(1612): Poverty: 15.4, State: Oklahoma, County: Cotton County, Income: 49962, Total Pop: 6000
Entry(1613): Poverty: 15.4, State: Ohio, County: Columbiana County, Income: 45498, Total Pop: 104584
Entry(1614): Poverty: 15.4, State: Missouri, County: St. Francois County, Income: 42873, Total Pop: 66248
Entry(1615): Poverty: 15.4, State: Minnesota, County: St. Louis County, Income: 50936, Total Pop: 200294
Entry(1616): Poverty: 15.4, State: Illinois, County: Edgar County, Income: 47873, Total Pop: 17603
Entry(1617): Poverty: 15.4, State: Florida, County: Bay County, Income: 50283, Total Pop: 180117
Entry(1618): Poverty: 15.4, State: California, County: Santa Barbara County, Income: 68023, Total Pop: 442996
Entry(1619): Poverty: 15.4, State: Arkansas, County: Cleburne County, Income: 42312, Total Pop: 25361
Entry(1620): Poverty: 15.4, State: North Dakota, County: Sheridan County, Income: 49750, Total Pop: 1403
Entry(1621): Poverty: 15.4, State: Maryland, County: Dorchester County, Income: 50532, Total Pop: 32386
Entry(1622): Poverty: 15.4, State: North Carolina, County: Mitchell County, Income: 42534, Total Pop: 15155
Entry(1623): Poverty: 15.4, State: Tennessee, County: Roane County, Income: 45407, Total Pop: 52926
Entry(1624): Poverty: 15.5, State: South Carolina, County: Lancaster County, Income: 50557, Total Pop: 86544
Entry(1625): Poverty: 15.5, State: South Carolina, County: Edgefield County, Income: 47500, Total Pop: 26620
Entry(1626): Poverty: 15.5, State: Missouri, County: Shelby County, Income: 42593, Total Pop: 6084
Entry(1627): Poverty: 15.5, State: Kentucky, County: Boyle County, Income: 43076, Total Pop: 29773
Entry(1628): Poverty: 15.5, State: Kansas, County: Osborne County, Income: 42173, Total Pop: 3684
Entry(1629): Poverty: 15.5, State: Illinois, County: Fulton County, Income: 48599, Total Pop: 35733
Entry(1630): Poverty: 15.5, State: Idaho, County: Payette County, Income: 48447, Total Pop: 22839
Entry(1631): Poverty: 15.5, State: Oklahoma, County: Tulsa County, Income: 52017, Total Pop: 637123
Entry(1632): Poverty: 15.5, State: North Carolina, County: Transylvania County, Income: 44559, Total Pop: 33291
Entry(1633): Poverty: 15.5, State: Illinois, County: Iroquois County, Income: 48857, Total Pop: 28457
Entry(1634): Poverty: 15.5, State: Arizona, County: Pinal County, Income: 52628, Total Pop: 405537
Entry(1635): Poverty: 15.5, State: Alaska, County: Denali Borough, Income: 83295, Total Pop: 2303
Entry(1636): Poverty: 15.5, State: Texas, County: Montague County, Income: 46592, Total Pop: 19406
Entry(1637): Poverty: 15.5, State: Oregon, County: Tillamook County, Income: 45061, Total Pop: 25840
Entry(1638): Poverty: 15.5, State: Ohio, County: Washington County, Income: 46021, Total Pop: 60871
Entry(1639): Poverty: 15.5, State: Michigan, County: Ontonagon County, Income: 36073, Total Pop: 6072
Entry(1640): Poverty: 15.5, State: Oregon, County: Curry County, Income: 42519, Total Pop: 22377
Entry(1641): Poverty: 15.5, State: South Dakota, County: Lake County, Income: 58467, Total Pop: 12350
Entry(1642): Poverty: 15.5, State: Vermont, County: Essex County, Income: 38767, Total Pop: 6203
Entry(1643): Poverty: 15.6, State: South Carolina, County: Anderson County, Income: 45551, Total Pop: 194174
Entry(1644): Poverty: 15.6, State: Pennsylvania, County: Cambria County, Income: 44943, Total Pop: 135871
Entry(1645): Poverty: 15.6, State: Louisiana, County: St. James Parish, Income: 52055, Total Pop: 21485
Entry(1646): Poverty: 15.6, State: Alabama, County: Blount County, Income: 47412, Total Pop: 57667
Entry(1647): Poverty: 15.6, State: Virginia, County: Tazewell County, Income: 40309, Total Pop: 42689
Entry(1648): Poverty: 15.6, State: Iowa, County: Franklin County, Income: 48172, Total Pop: 10326
Entry(1649): Poverty: 15.6, State: Indiana, County: Sullivan County, Income: 45031, Total Pop: 20900
Entry(1650): Poverty: 15.6, State: Indiana, County: Knox County, Income: 44837, Total Pop: 37763
Entry(1651): Poverty: 15.6, State: Illinois, County: Sangamon County, Income: 58687, Total Pop: 198134
Entry(1652): Poverty: 15.6, State: California, County: Riverside County, Income: 60807, Total Pop: 2355002
Entry(1653): Poverty: 15.6, State: Virginia, County: Rockbridge County, Income: 53918, Total Pop: 22440
Entry(1654): Poverty: 15.6, State: Virginia, County: King and Queen County, Income: 51495, Total Pop: 7052
Entry(1655): Poverty: 15.6, State: Texas, County: Callahan County, Income: 40945, Total Pop: 13660
Entry(1656): Poverty: 15.6, State: South Carolina, County: Spartanburg County, Income: 47575, Total Pop: 297732
Entry(1657): Poverty: 15.6, State: Ohio, County: Richland County, Income: 44138, Total Pop: 121533
Entry(1658): Poverty: 15.6, State: Iowa, County: Floyd County, Income: 48607, Total Pop: 15904
Entry(1659): Poverty: 15.6, State: Indiana, County: Jackson County, Income: 49080, Total Pop: 43779
Entry(1660): Poverty: 15.6, State: Illinois, County: Montgomery County, Income: 47807, Total Pop: 29173
Entry(1661): Poverty: 15.6, State: Missouri, County: Ray County, Income: 57270, Total Pop: 22859
Entry(1662): Poverty: 15.6, State: Indiana, County: Owen County, Income: 48315, Total Pop: 20957
Entry(1663): Poverty: 15.6, State: Minnesota, County: Cottonwood County, Income: 50524, Total Pop: 11437
Entry(1664): Poverty: 15.6, State: Texas, County: Bosque County, Income: 48677, Total Pop: 17955
Entry(1665): Poverty: 15.6, State: Washington, County: Stevens County, Income: 47272, Total Pop: 43858
Entry(1666): Poverty: 15.7, State: Texas, County: Morris County, Income: 40227, Total Pop: 12530
Entry(1667): Poverty: 15.7, State: Idaho, County: Washington County, Income: 37521, Total Pop: 9996
Entry(1668): Poverty: 15.7, State: Texas, County: Newton County, Income: 40180, Total Pop: 14187
