Entry(0): Total Pop: 74, State: Texas, County: Loving County, Income: 80938, Poverty: 17.1
Entry(1607): Total Pop: 25813, State: Tennessee, County: Hardin County, Income: 39092, Poverty: 21.5
Entry(1608): Total Pop: 25817, State: Kentucky, County: Woodford County, Income: 60604, Poverty: 14.5
Entry(1609): Total Pop: 25840, State: Oregon, County: Tillamook County, Income: 45061, Poverty: 15.5
Entry(1610): Total Pop: 25855, State: Alabama, County: Cherokee County, Income: 40041, Poverty: 16.1
Entry(1611): Total Pop: 25939, State: Texas, County: Gillespie County, Income: 56267, Poverty: 12.4
Entry(1612): Total Pop: 25945, State: Tennessee, County: McNairy County, Income: 34353, Poverty: 21.6
Entry(1613): Total Pop: 26109, State: Virginia, County: Fluvanna County, Income: 67964, Poverty: 6.1
Entry(1614): Total Pop: 26129, State: Kentucky, County: Grayson County, Income: 35944, Poverty: 25.7
Entry(1615): Total Pop: 26155, State: Arkansas, County: Johnson County, Income: 35758, Poverty: 22.5
Entry(1616): Total Pop: 26160, State: Michigan, County: Charlevoix County, Income: 51567, Poverty: 11.6
Entry(1617): Total Pop: 26201, State: Alabama, County: Barbour County, Income: 33368, Poverty: 27.2
Entry(1618): Total Pop: 26232, State: Idaho, County: Elmore County, Income: 45154, Poverty: 14.9
Entry(1619): Total Pop: 26241, State: Georgia, County: Upson County, Income: 35375, Poverty: 22.7
Entry(1620): Total Pop: 26290, State: Louisiana, County: Morehouse Parish, Income: 31672, Poverty: 27.6
Entry(1621): Total Pop: 26317, State: Michigan, County: Oceana County, Income: 44382, Poverty: 17.5
Entry(1622): Total Pop: 26375, State: Indiana, County: Clay County, Income: 50924, Poverty: 13.9
Entry(1623): Total Pop: 26381, State: Iowa, County: Boone County, Income: 57906, Poverty: 9.4
Entry(1624): Total Pop: 26394, State: Tennessee, County: White County, Income: 37654, Poverty: 17.6
Entry(1625): Total Pop: 26427, State: Wisconsin, County: Juneau County, Income: 48817, Poverty: 14.3
Entry(1626): Total Pop: 26480, State: Indiana, County: Decatur County, Income: 52270, Poverty: 11.4
Entry(1627): Total Pop: 26497, State: Tennessee, County: Lauderdale County, Income: 35551, Poverty: 23.1
Entry(1628): Total Pop: 26572, State: Alabama, County: Geneva County, Income: 39293, Poverty: 22.5
Entry(1629): Total Pop: 26584, State: Puerto Rico, County: Naguabo Municipio, Income: 18976, Poverty: 49.3
Entry(1630): Total Pop: 26620, State: South Carolina, County: Edgefield County, Income: 47500, Poverty: 15.5
Entry(1631): Total Pop: 26688, State: Arkansas, County: St. Francis County, Income: 33102, Poverty: 27.5
Entry(1632): Total Pop: 26775, State: Florida, County: Bradford County, Income: 46106, Poverty: 18.8
Entry(1633): Total Pop: 26795, State: Georgia, County: Monroe County, Income: 50666, Poverty: 13.3
Entry(1634): Total Pop: 26833, State: North Carolina, County: Ashe County, Income: 40293, Poverty: 19.4
Entry(1635): Total Pop: 26845, State: New York, County: Lewis County, Income: 51475, Poverty: 14.2
Entry(1636): Total Pop: 26847, State: Kentucky, County: Logan County, Income: 40982, Poverty: 17.4
Entry(1637): Total Pop: 26855, State: Puerto Rico, County: Aguas Buenas Municipio, Income: 16733, Poverty: 48.3
Entry(1638): Total Pop: 26915, State: Mississippi, County: Sunflower County, Income: 28556, Poverty: 32.5
Entry(1639): Total Pop: 26951, State: Vermont, County: Orleans County, Income: 45664, Poverty: 14.2
Entry(1640): Total Pop: 27000, State: West Virginia, County: Mason County, Income: 38977, Poverty: 19.3
Entry(1641): Total Pop: 27015, State: Texas, County: Uvalde County, Income: 40781, Poverty: 17.9
Entry(1642): Total Pop: 27023, State: Georgia, County: Decatur County, Income: 36934, Poverty: 24.1
Entry(1643): Total Pop: 27027, State: Georgia, County: Peach County, Income: 43645, Poverty: 18.7
Entry(1644): Total Pop: 27049, State: New Mexico, County: Cibola County, Income: 36089, Poverty: 28.5
Entry(1645): Total Pop: 27066, State: South Dakota, County: Meade County, Income: 54286, Poverty: 8.8
Entry(1646): Total Pop: 27067, State: Kansas, County: Barton County, Income: 46070, Poverty: 15.7
Entry(1647): Total Pop: 27160, State: Georgia, County: Toombs County, Income: 35750, Poverty: 24.4
Entry(1648): Total Pop: 27164, State: Louisiana, County: De Soto Parish, Income: 41443, Poverty: 26.3
Entry(1649): Total Pop: 27215, State: Mississippi, County: Simpson County, Income: 37591, Poverty: 27.1
Entry(1650): Total Pop: 27242, State: Puerto Rico, County: Loíza Municipio, Income: 17273, Poverty: 51.9
Entry(1651): Total Pop: 27321, State: Puerto Rico, County: Lares Municipio, Income: 12820, Poverty: 56.4
Entry(1652): Total Pop: 27326, State: Florida, County: Hardee County, Income: 39063, Poverty: 24.5
Entry(1653): Total Pop: 27329, State: Kentucky, County: Perry County, Income: 31820, Poverty: 26.2
Entry(1654): Total Pop: 27358, State: Texas, County: Grimes County, Income: 49745, Poverty: 18.6
Entry(1655): Total Pop: 27385, State: Kentucky, County: Carter County, Income: 35095, Poverty: 21.5
Entry(1656): Total Pop: 27410, State: Idaho, County: Jefferson County, Income: 58055, Poverty: 9.5
Entry(1657): Total Pop: 27421, State: West Virginia, County: Mineral County, Income: 40749, Poverty: 14.8
Entry(1658): Total Pop: 27436, State: Texas, County: San Jacinto County, Income: 43421, Poverty: 17.2
Entry(1659): Total Pop: 27442, State: California, County: Del Norte County, Income: 41287, Poverty: 23.2
Entry(1660): Total Pop: 27443, State: Wisconsin, County: Door County, Income: 56494, Poverty: 8.4
Entry(1661): Total Pop: 27445, State: North Carolina, County: Montgomery County, Income: 38254, Poverty: 20.9
Entry(1662): Total Pop: 27463, State: North Carolina, County: Cherokee County, Income: 38115, Poverty: 16.8
Entry(1663): Total Pop: 27463, State: Ohio, County: Henry County, Income: 58070, Poverty: 9.0
Entry(1664): Total Pop: 27465, State: South Carolina, County: Jasper County, Income: 39740, Poverty: 22.6
Entry(1665): Total Pop: 27469, State: Kentucky, County: Bell County, Income: 23558, Poverty: 38.0
Entry(1666): Total Pop: 27496, State: Mississippi, County: Yazoo County, Income: 28330, Poverty: 36.5
Entry(1667): Total Pop: 27505, State: South Carolina, County: Marlboro County, Income: 33921, Poverty: 26.6
Entry(1668): Total Pop: 27516, State: Virginia, County: Winchester city, Income: 49330, Poverty: 12.5
Entry(1669): Total Pop: 27537, State: Florida, County: Baker County, Income: 59506, Poverty: 17.2
Entry(1670): Total Pop: 27548, State: Kentucky, County: Harlan County, Income: 24451, Poverty: 35.6
Entry(1671): Total Pop: 27550, State: Kentucky, County: Montgomery County, Income: 42172, Poverty: 23.0
Entry(1672): Total Pop: 27725, State: Virginia, County: Russell County, Income: 40083, Poverty: 17.6
Entry(1673): Total Pop: 27751, State: Oklahoma, County: Garvin County, Income: 42567, Poverty: 17.1
Entry(1674): Total Pop: 27760, State: Pennsylvania, County: Wyoming County, Income: 55965, Poverty: 10.4
Entry(1675): Total Pop: 27772, State: South Carolina, County: Union County, Income: 37493, Poverty: 19.3
Entry(1676): Total Pop: 27782, State: Arkansas, County: Carroll County, Income: 39686, Poverty: 15.7
Entry(1677): Total Pop: 27807, State: Indiana, County: Washington County, Income: 46861, Poverty: 13.3
Entry(1678): Total Pop: 27810, State: Minnesota, County: Le Sueur County, Income: 65500, Poverty: 8.8
Entry(1679): Total Pop: 27825, State: Ohio, County: Carroll County, Income: 51748, Poverty: 14.8
Entry(1680): Total Pop: 27832, State: Indiana, County: Wells County, Income: 53038, Poverty: 11.0
Entry(1681): Total Pop: 27840, State: Indiana, County: Jennings County, Income: 48362, Poverty: 13.9
Entry(1682): Total Pop: 27889, State: Tennessee, County: Henderson County, Income: 42711, Poverty: 19.5
Entry(1683): Total Pop: 27892, State: Puerto Rico, County: Añasco Municipio, Income: 18765, Poverty: 45.4
Entry(1684): Total Pop: 27926, State: Ohio, County: Adams County, Income: 36320, Poverty: 23.8
Entry(1685): Total Pop: 27935, State: California, County: Glenn County, Income: 46260, Poverty: 19.6
Entry(1686): Total Pop: 27963, State: South Dakota, County: Codington County, Income: 52025, Poverty: 11.7
Entry(1687): Total Pop: 27994, State: Wisconsin, County: Lincoln County, Income: 54203, Poverty: 9.2
Entry(1688): Total Pop: 28033, State: Virginia, County: Dinwiddie County, Income: 54640, Poverty: 14.8
Entry(1689): Total Pop: 28109, State: Texas, County: Palo Pinto County, Income: 45067, Poverty: 18.3
Entry(1690): Total Pop: 28123, State: Colorado, County: Morgan County, Income: 51456, Poverty: 9.3
Entry(1691): Total Pop: 28135, State: Virginia, County: Fredericksburg city, Income: 57258, Poverty: 16.3
Entry(1692): Total Pop: 28137, State: Tennessee, County: Carroll County, Income: 38201, Poverty: 19.8
Entry(1693): Total Pop: 28202, State: Mississippi, County: Union County, Income: 40076, Poverty: 18.2
Entry(1694): Total Pop: 28203, State: New Mexico, County: San Miguel County, Income: 29168, Poverty: 30.9
Entry(1695): Total Pop: 28262, State: Ohio, County: Van Wert County, Income: 50974, Poverty: 12.7
Entry(1696): Total Pop: 28291, State: Ohio, County: Pike County, Income: 43562, Poverty: 20.0
Entry(1697): Total Pop: 28333, State: Mississippi, County: Tate County, Income: 46233, Poverty: 19.3
Entry(1698): Total Pop: 28355, State: Tennessee, County: Marion County, Income: 45366, Poverty: 18.1
Entry(1699): Total Pop: 28364, State: Virginia, County: Powhatan County, Income: 80441, Poverty: 5.5
Entry(1700): Total Pop: 28372, State: Indiana, County: Ripley County, Income: 53698, Poverty: 10.5
Entry(1701): Total Pop: 28382, State: New Mexico, County: Grant County, Income: 40470, Poverty: 22.0
Entry(1702): Total Pop: 28399, State: Mississippi, County: Scott County, Income: 33601, Poverty: 27.8
Entry(1703): Total Pop: 28452, State: Kentucky, County: Meade County, Income: 53732, Poverty: 13.1
Entry(1704): Total Pop: 28457, State: Illinois, County: Iroquois County, Income: 48857, Poverty: 15.5
Entry(1705): Total Pop: 28509, State: Georgia, County: White County, Income: 43944, Poverty: 17.7
Entry(1706): Total Pop: 28540, State: Georgia, County: Jones County, Income: 55110, Poverty: 14.2
Entry(1707): Total Pop: 28547, State: Ohio, County: Hocking County, Income: 48073, Poverty: 14.2
Entry(1708): Total Pop: 28600, State: Georgia, County: Madison County, Income: 47653, Poverty: 17.6
Entry(1709): Total Pop: 28659, State: Ohio, County: Fayette County, Income: 44289, Poverty: 17.7
Entry(1710): Total Pop: 28703, State: Missouri, County: Marion County, Income: 44098, Poverty: 18.4
Entry(1711): Total Pop: 28722, State: Georgia, County: Haralson County, Income: 43663, Poverty: 18.0
Entry(1712): Total Pop: 28730, State: Michigan, County: Alpena County, Income: 40954, Poverty: 15.0
Entry(1713): Total Pop: 28748, State: Mississippi, County: Copiah County, Income: 38046, Poverty: 24.3
Entry(1714): Total Pop: 28792, State: Kansas, County: McPherson County, Income: 56946, Poverty: 7.6
Entry(1715): Total Pop: 28800, State: Michigan, County: Mason County, Income: 45524, Poverty: 16.0
Entry(1716): Total Pop: 28810, State: Minnesota, County: Cass County, Income: 50162, Poverty: 15.3
Entry(1717): Total Pop: 28877, State: Kansas, County: Ellis County, Income: 49562, Poverty: 16.7
Entry(1718): Total Pop: 28892, State: Utah, County: Sanpete County, Income: 50928, Poverty: 16.9
Entry(1719): Total Pop: 28901, State: Vermont, County: Orange County, Income: 56584, Poverty: 11.5
Entry(1720): Total Pop: 29024, State: Tennessee, County: Giles County, Income: 43925, Poverty: 15.9
Entry(1721): Total Pop: 29048, State: Virginia, County: Wythe County, Income: 46119, Poverty: 15.2
Entry(1722): Total Pop: 29057, State: Minnesota, County: Pine County, Income: 47285, Poverty: 13.6
Entry(1723): Total Pop: 29112, State: Puerto Rico, County: Naranjito Municipio, Income: 18069, Poverty: 47.5
Entry(1724): Total Pop: 29123, State: West Virginia, County: Jackson County, Income: 41731, Poverty: 14.7
Entry(1725): Total Pop: 29152, State: West Virginia, County: Randolph County, Income: 40094, Poverty: 18.3
Entry(1726): Total Pop: 29169, State: Oklahoma, County: Custer County, Income: 48520, Poverty: 15.8
Entry(1727): Total Pop: 29173, State: Illinois, County: Montgomery County, Income: 47807, Poverty: 15.6
Entry(1728): Total Pop: 29216, State: Georgia, County: Lee County, Income: 65018, Poverty: 11.6
Entry(1729): Total Pop: 29237, State: Puerto Rico, County: Barranquitas Municipio, Income: 15694, Poverty: 60.7
Entry(1730): Total Pop: 29239, State: Puerto Rico, County: Salinas Municipio, Income: 16246, Poverty: 53.6
Entry(1731): Total Pop: 29276, State: Wyoming, County: Park County, Income: 60828, Poverty: 7.0
Entry(1732): Total Pop: 29292, State: Texas, County: Austin County, Income: 62614, Poverty: 13.4
Entry(1733): Total Pop: 29306, State: Utah, County: Wasatch County, Income: 74552, Poverty: 7.8
Entry(1734): Total Pop: 29437, State: Oklahoma, County: Caddo County, Income: 41626, Poverty: 20.8
Entry(1735): Total Pop: 29437, State: Mississippi, County: Neshoba County, Income: 36755, Poverty: 22.1
Entry(1736): Total Pop: 29488, State: Illinois, County: Logan County, Income: 58271, Poverty: 9.2
Entry(1737): Total Pop: 29510, State: Wisconsin, County: Trempealeau County, Income: 54009, Poverty: 9.0
Entry(1738): Total Pop: 29516, State: Maryland, County: Garrett County, Income: 48174, Poverty: 11.4
Entry(1739): Total Pop: 29518, State: Montana, County: Lake County, Income: 42582, Poverty: 20.9
Entry(1740): Total Pop: 29614, State: Georgia, County: Gilmer County, Income: 46211, Poverty: 18.8
Entry(1741): Total Pop: 29634, State: Missouri, County: Stoddard County, Income: 40076, Poverty: 16.8
Entry(1742): Total Pop: 29722, State: Colorado, County: Summit County, Income: 73538, Poverty: 10.3
Entry(1743): Total Pop: 29767, State: Virginia, County: Carroll County, Income: 41145, Poverty: 14.6
Entry(1744): Total Pop: 29773, State: Kentucky, County: Boyle County, Income: 43076, Poverty: 15.5
Entry(1745): Total Pop: 29833, State: Georgia, County: Wayne County, Income: 41534, Poverty: 21.3
Entry(1746): Total Pop: 29889, State: Virginia, County: Caroline County, Income: 60925, Poverty: 11.9
Entry(1747): Total Pop: 29921, State: West Virginia, County: Hancock County, Income: 43634, Poverty: 13.5
Entry(1748): Total Pop: 29964, State: Wyoming, County: Sheridan County, Income: 56455, Poverty: 6.8
Entry(1749): Total Pop: 30058, State: Alabama, County: Marion County, Income: 35719, Poverty: 17.6
Entry(1750): Total Pop: 30059, State: North Dakota, County: Morton County, Income: 65385, Poverty: 7.9
Entry(1751): Total Pop: 30113, State: Mississippi, County: Leflore County, Income: 25210, Poverty: 40.3
Entry(1752): Total Pop: 30118, State: Texas, County: Cass County, Income: 41432, Poverty: 18.5
Entry(1753): Total Pop: 30177, State: Maine, County: Franklin County, Income: 45541, Poverty: 12.4
Entry(1754): Total Pop: 30203, State: Ohio, County: Gallia County, Income: 42002, Poverty: 20.9
Entry(1755): Total Pop: 30209, State: Puerto Rico, County: Utuado Municipio, Income: 15931, Poverty: 53.0
Entry(1756): Total Pop: 30217, State: Colorado, County: Delta County, Income: 42487, Poverty: 16.5
Entry(1757): Total Pop: 30316, State: North Dakota, County: Stark County, Income: 77328, Poverty: 8.1
Entry(1758): Total Pop: 30343, State: Georgia, County: Pickens County, Income: 61542, Poverty: 9.8
Entry(1759): Total Pop: 30378, State: Wisconsin, County: Vernon County, Income: 49996, Poverty: 16.6
Entry(1760): Total Pop: 30421, State: Oregon, County: Malheur County, Income: 37112, Poverty: 25.2
Entry(1761): Total Pop: 30524, State: Washington, County: Jefferson County, Income: 51842, Poverty: 12.8
Entry(1762): Total Pop: 30576, State: Vermont, County: Caledonia County, Income: 47371, Poverty: 12.3
Entry(1763): Total Pop: 30597, State: Michigan, County: Clare County, Income: 35913, Poverty: 23.6
Entry(1764): Total Pop: 30619, State: Minnesota, County: Freeborn County, Income: 51174, Poverty: 11.8
Entry(1765): Total Pop: 30659, State: Tennessee, County: Obion County, Income: 38063, Poverty: 23.0
Entry(1766): Total Pop: 30687, State: Georgia, County: Sumter County, Income: 34219, Poverty: 33.4
Entry(1767): Total Pop: 30781, State: Pennsylvania, County: Elk County, Income: 49876, Poverty: 9.4
Entry(1768): Total Pop: 30905, State: Missouri, County: Dunklin County, Income: 32348, Poverty: 26.6
Entry(1769): Total Pop: 30959, State: Virginia, County: Mecklenburg County, Income: 41126, Poverty: 16.9
Entry(1770): Total Pop: 31073, State: South Carolina, County: Dillon County, Income: 30866, Poverty: 30.6
Entry(1771): Total Pop: 31075, State: Mississippi, County: Pontotoc County, Income: 41865, Poverty: 17.0
Entry(1772): Total Pop: 31153, State: Kentucky, County: Muhlenberg County, Income: 40037, Poverty: 20.5
Entry(1773): Total Pop: 31177, State: Kentucky, County: Marshall County, Income: 49126, Poverty: 10.8
Entry(1774): Total Pop: 31298, State: Virginia, County: Smyth County, Income: 40544, Poverty: 17.4
Entry(1775): Total Pop: 31347, State: Missouri, County: Polk County, Income: 44805, Poverty: 14.4
Entry(1776): Total Pop: 31405, State: Louisiana, County: Jefferson Davis Parish, Income: 40744, Poverty: 19.6
Entry(1777): Total Pop: 31424, State: Kentucky, County: Knox County, Income: 26061, Poverty: 34.7
Entry(1778): Total Pop: 31470, State: California, County: Lassen County, Income: 54083, Poverty: 14.6
Entry(1779): Total Pop: 31507, State: Alabama, County: Franklin County, Income: 39501, Poverty: 23.0
Entry(1780): Total Pop: 31529, State: Missouri, County: Stone County, Income: 43292, Poverty: 12.8
Entry(1781): Total Pop: 31540, State: Texas, County: Kleberg County, Income: 41700, Poverty: 23.7
Entry(1782): Total Pop: 31564, State: Nebraska, County: Adams County, Income: 51721, Poverty: 12.4
Entry(1783): Total Pop: 31564, State: Minnesota, County: Polk County, Income: 55393, Poverty: 12.4
Entry(1784): Total Pop: 31566, State: Tennessee, County: Claiborne County, Income: 35428, Poverty: 22.4
Entry(1785): Total Pop: 31567, State: Georgia, County: Lumpkin County, Income: 43039, Poverty: 20.1
Entry(1786): Total Pop: 31576, State: Ohio, County: Hardin County, Income: 46404, Poverty: 16.6
Entry(1787): Total Pop: 31583, State: Mississippi, County: Adams County, Income: 30359, Poverty: 34.2
Entry(1788): Total Pop: 31586, State: Florida, County: Wakulla County, Income: 57866, Poverty: 12.6
Entry(1789): Total Pop: 31597, State: Illinois, County: McDonough County, Income: 42911, Poverty: 22.3
Entry(1790): Total Pop: 31611, State: New York, County: Schoharie County, Income: 51842, Poverty: 13.9
Entry(1791): Total Pop: 31725, State: Oklahoma, County: Ottawa County, Income: 38472, Poverty: 21.8
Entry(1792): Total Pop: 31750, State: Michigan, County: Huron County, Income: 45191, Poverty: 13.6
Entry(1793): Total Pop: 31753, State: Tennessee, County: Marshall County, Income: 46837, Poverty: 13.5
Entry(1794): Total Pop: 31765, State: South Carolina, County: Marion County, Income: 31129, Poverty: 26.5
Entry(1795): Total Pop: 31785, State: Puerto Rico, County: Morovis Municipio, Income: 18739, Poverty: 49.3
Entry(1796): Total Pop: 31819, State: Virginia, County: Amherst County, Income: 49677, Poverty: 13.4
Entry(1797): Total Pop: 31822, State: Maine, County: Washington County, Income: 40328, Poverty: 18.2
Entry(1798): Total Pop: 31848, State: Indiana, County: Wabash County, Income: 49052, Poverty: 13.3
Entry(1799): Total Pop: 32006, State: West Virginia, County: Marshall County, Income: 42473, Poverty: 15.2
Entry(1800): Total Pop: 32037, State: Virginia, County: Petersburg city, Income: 33939, Poverty: 27.6
Entry(1801): Total Pop: 32119, State: New Hampshire, County: Coos County, Income: 45386, Poverty: 13.3
Entry(1802): Total Pop: 32256, State: South Carolina, County: Williamsburg County, Income: 30976, Poverty: 28.2
Entry(1803): Total Pop: 32263, State: Tennessee, County: Henry County, Income: 40415, Poverty: 19.7
Entry(1804): Total Pop: 32293, State: Indiana, County: Jefferson County, Income: 50722, Poverty: 13.7
Entry(1805): Total Pop: 32386, State: Maryland, County: Dorchester County, Income: 50532, Poverty: 15.4
Entry(1806): Total Pop: 32424, State: South Carolina, County: Chester County, Income: 37421, Poverty: 21.8
Entry(1807): Total Pop: 32431, State: Indiana, County: Greene County, Income: 49648, Poverty: 12.9
Entry(1808): Total Pop: 32434, State: Alaska, County: Juneau City and Borough, Income: 90749, Poverty: 7.4
Entry(1809): Total Pop: 32455, State: Indiana, County: Clinton County, Income: 51659, Poverty: 13.3
Entry(1810): Total Pop: 32478, State: Tennessee, County: Rhea County, Income: 39368, Poverty: 21.9
Entry(1811): Total Pop: 32624, State: Ohio, County: Jackson County, Income: 43397, Poverty: 20.6
Entry(1812): Total Pop: 32655, State: Missouri, County: Lafayette County, Income: 52557, Poverty: 12.8
Entry(1813): Total Pop: 32664, State: Texas, County: Titus County, Income: 46980, Poverty: 19.3
Entry(1814): Total Pop: 32729, State: Texas, County: Bee County, Income: 45415, Poverty: 19.7
Entry(1815): Total Pop: 32777, State: Indiana, County: Daviess County, Income: 48355, Poverty: 13.0
Entry(1816): Total Pop: 32785, State: Maryland, County: Caroline County, Income: 52469, Poverty: 16.5
Entry(1817): Total Pop: 32809, State: New Mexico, County: Taos County, Income: 35314, Poverty: 21.3
Entry(1818): Total Pop: 32829, State: Illinois, County: Randolph County, Income: 49717, Poverty: 12.3
Entry(1819): Total Pop: 32840, State: Virginia, County: Accomack County, Income: 42260, Poverty: 19.8
Entry(1820): Total Pop: 32875, State: Nebraska, County: Platte County, Income: 58679, Poverty: 8.6
Entry(1821): Total Pop: 32880, State: Minnesota, County: Morrison County, Income: 52855, Poverty: 11.4
Entry(1822): Total Pop: 32915, State: Michigan, County: Wexford County, Income: 42793, Poverty: 17.3
Entry(1823): Total Pop: 32916, State: North Dakota, County: Williams County, Income: 89874, Poverty: 9.0
Entry(1824): Total Pop: 32936, State: Puerto Rico, County: Camuy Municipio, Income: 17579, Poverty: 48.5
Entry(1825): Total Pop: 32937, State: Puerto Rico, County: San Germán Municipio, Income: 15036, Poverty: 51.8
Entry(1826): Total Pop: 32976, State: Kansas, County: Miami County, Income: 63501, Poverty: 7.7
Entry(1827): Total Pop: 32978, State: Michigan, County: Emmet County, Income: 51475, Poverty: 10.7
Entry(1828): Total Pop: 33026, State: Oklahoma, County: McCurtain County, Income: 34250, Poverty: 23.6
Entry(1829): Total Pop: 33075, State: Puerto Rico, County: Fajardo Municipio, Income: 18941, Poverty: 43.7
Entry(1830): Total Pop: 33121, State: Mississippi, County: Bolivar County, Income: 28468, Poverty: 37.4
Entry(1831): Total Pop: 33122, State: Louisiana, County: Iberville Parish, Income: 47128, Poverty: 19.3
Entry(1832): Total Pop: 33127, State: Iowa, County: Marion County, Income: 57917, Poverty: 9.3
Entry(1833): Total Pop: 33149, State: Virginia, County: Botetourt County, Income: 64733, Poverty: 7.7
Entry(1834): Total Pop: 33198, State: Georgia, County: Harris County, Income: 69539, Poverty: 7.3
Entry(1835): Total Pop: 33287, State: Alabama, County: Pike County, Income: 35684, Poverty: 26.3
Entry(1836): Total Pop: 33288, State: Alabama, County: Lawrence County, Income: 43779, Poverty: 16.6
Entry(1837): Total Pop: 33291, State: North Carolina, County: Transylvania County, Income: 44559, Poverty: 15.5
Entry(1838): Total Pop: 33302, State: Kansas, County: Lyon County, Income: 42992, Poverty: 18.6
Entry(1839): Total Pop: 33448, State: Indiana, County: Jasper County, Income: 56574, Poverty: 9.0
Entry(1840): Total Pop: 33463, State: Kansas, County: Montgomery County, Income: 43977, Poverty: 17.5
Entry(1841): Total Pop: 33477, State: Minnesota, County: Nicollet County, Income: 62593, Poverty: 11.3
Entry(1842): Total Pop: 33480, State: Arkansas, County: Hot Spring County, Income: 40626, Poverty: 15.8
Entry(1843): Total Pop: 33481, State: Indiana, County: Whitley County, Income: 57041, Poverty: 9.5
Entry(1844): Total Pop: 33543, State: Tennessee, County: Lincoln County, Income: 42153, Poverty: 16.9
Entry(1845): Total Pop: 33552, State: Minnesota, County: Becker County, Income: 55884, Poverty: 12.7
Entry(1846): Total Pop: 33554, State: Missouri, County: Warren County, Income: 56193, Poverty: 12.8
Entry(1847): Total Pop: 33562, State: Illinois, County: Christian County, Income: 50668, Poverty: 12.8
Entry(1848): Total Pop: 33596, State: Indiana, County: Gibson County, Income: 51149, Poverty: 10.7
Entry(1849): Total Pop: 33619, State: Illinois, County: Bureau County, Income: 54271, Poverty: 12.6
Entry(1850): Total Pop: 33697, State: South Dakota, County: Brookings County, Income: 53473, Poverty: 15.9
Entry(1851): Total Pop: 33739, State: Illinois, County: Monroe County, Income: 74410, Poverty: 5.3
Entry(1852): Total Pop: 33750, State: Louisiana, County: Evangeline Parish, Income: 31745, Poverty: 26.4
Entry(1853): Total Pop: 33760, State: West Virginia, County: Preston County, Income: 46673, Poverty: 15.2
Entry(1854): Total Pop: 33776, State: Tennessee, County: Weakley County, Income: 36550, Poverty: 20.5
Entry(1855): Total Pop: 33787, State: Texas, County: Fannin County, Income: 47875, Poverty: 14.8
Entry(1856): Total Pop: 33895, State: Alabama, County: Chambers County, Income: 37342, Poverty: 18.8
Entry(1857): Total Pop: 34021, State: Maine, County: Lincoln County, Income: 54041, Poverty: 11.8
Entry(1858): Total Pop: 34037, State: Ohio, County: Putnam County, Income: 61161, Poverty: 7.2
Entry(1859): Total Pop: 34130, State: North Carolina, County: Bladen County, Income: 32396, Poverty: 24.5
Entry(1860): Total Pop: 34156, State: South Carolina, County: Clarendon County, Income: 35838, Poverty: 23.3
Entry(1861): Total Pop: 34160, State: North Carolina, County: Macon County, Income: 40659, Poverty: 17.7
Entry(1862): Total Pop: 34164, State: Illinois, County: Effingham County, Income: 54655, Poverty: 11.3
Entry(1863): Total Pop: 34229, State: Mississippi, County: Panola County, Income: 35891, Poverty: 20.5
Entry(1864): Total Pop: 34330, State: Virginia, County: Pulaski County, Income: 49691, Poverty: 13.9
Entry(1865): Total Pop: 34428, State: West Virginia, County: Logan County, Income: 37859, Poverty: 22.5
Entry(1866): Total Pop: 34442, State: Illinois, County: Morgan County, Income: 49353, Poverty: 14.9
Entry(1867): Total Pop: 34459, State: Indiana, County: Steuben County, Income: 52749, Poverty: 10.1
Entry(1868): Total Pop: 34513, State: Wisconsin, County: Clark County, Income: 49131, Poverty: 13.2
Entry(1869): Total Pop: 34514, State: Montana, County: Silver Bow County, Income: 40480, Poverty: 19.2
Entry(1870): Total Pop: 34527, State: Texas, County: Hale County, Income: 46012, Poverty: 19.8
Entry(1871): Total Pop: 34542, State: Mississippi, County: Lincoln County, Income: 37308, Poverty: 23.6
Entry(1872): Total Pop: 34658, State: Kansas, County: Ford County, Income: 49890, Poverty: 16.2
Entry(1873): Total Pop: 34667, State: Texas, County: Washington County, Income: 55793, Poverty: 13.2
Entry(1874): Total Pop: 34670, State: Illinois, County: Lee County, Income: 58319, Poverty: 11.8
Entry(1875): Total Pop: 34683, State: Kansas, County: Harvey County, Income: 55687, Poverty: 11.2
Entry(1876): Total Pop: 34692, State: Iowa, County: Sioux County, Income: 66022, Poverty: 7.9
Entry(1877): Total Pop: 34759, State: Oklahoma, County: Lincoln County, Income: 47539, Poverty: 14.3
Entry(1878): Total Pop: 34785, State: Iowa, County: Lee County, Income: 48266, Poverty: 16.3
Entry(1879): Total Pop: 34813, State: Virginia, County: Louisa County, Income: 56946, Poverty: 11.8
Entry(1880): Total Pop: 34843, State: New York, County: Seneca County, Income: 51601, Poverty: 11.8
Entry(1881): Total Pop: 34883, State: Georgia, County: Bryan County, Income: 68589, Poverty: 14.1
Entry(1882): Total Pop: 34933, State: Puerto Rico, County: Corozal Municipio, Income: 14752, Poverty: 55.2
Entry(1883): Total Pop: 34935, State: Ohio, County: Morrow County, Income: 52767, Poverty: 9.7
Entry(1884): Total Pop: 35018, State: Indiana, County: Adams County, Income: 48290, Poverty: 18.9
Entry(1885): Total Pop: 35025, State: Puerto Rico, County: Yabucoa Municipio, Income: 15586, Poverty: 52.4
Entry(1886): Total Pop: 35030, State: Virginia, County: Halifax County, Income: 39233, Poverty: 18.7
