Entry(0): County: Abbeville County, State: South Carolina, Total Pop: 24788, Income: 35254, Poverty: 22.7
Entry(1470): County: Jim Hogg County, State: Texas, Total Pop: 5262, Income: 31403, Poverty: 26.0
Entry(1471): County: Jim Wells County, State: Texas, Total Pop: 41318, Income: 41103, Poverty: 23.0
Entry(1472): County: Jo Daviess County, State: Illinois, Total Pop: 22046, Income: 55532, Poverty: 7.6
Entry(1473): County: Johnson County, State: Iowa, Total Pop: 144425, Income: 59965, Poverty: 17.7
Entry(1474): County: Johnson County, State: Kentucky, Total Pop: 23064, Income: 35629, Poverty: 24.1
Entry(1475): County: Johnson County, State: Arkansas, Total Pop: 26155, Income: 35758, Poverty: 22.5
Entry(1476): County: Johnson County, State: Indiana, Total Pop: 149359, Income: 65272, Poverty: 9.4
Entry(1477): County: Johnson County, State: Nebraska, Total Pop: 5200, Income: 49564, Poverty: 10.1
Entry(1478): County: Johnson County, State: Illinois, Total Pop: 12899, Income: 45743, Poverty: 13.9
Entry(1479): County: Johnson County, State: Kansas, Total Pop: 578797, Income: 81121, Poverty: 5.6
Entry(1480): County: Johnson County, State: Missouri, Total Pop: 53941, Income: 50689, Poverty: 16.2
Entry(1481): County: Johnson County, State: Tennessee, Total Pop: 17846, Income: 32994, Poverty: 25.3
Entry(1482): County: Johnson County, State: Texas, Total Pop: 160173, Income: 60458, Poverty: 11.0
Entry(1483): County: Johnson County, State: Wyoming, Total Pop: 8562, Income: 52415, Poverty: 9.9
Entry(1484): County: Johnson County, State: Georgia, Total Pop: 9800, Income: 36423, Poverty: 21.5
Entry(1485): County: Johnston County, State: North Carolina, Total Pop: 186308, Income: 54610, Poverty: 14.5
Entry(1486): County: Johnston County, State: Oklahoma, Total Pop: 11039, Income: 38636, Poverty: 20.0
Entry(1487): County: Jones County, State: Georgia, Total Pop: 28540, Income: 55110, Poverty: 14.2
Entry(1488): County: Jones County, State: Iowa, Total Pop: 20468, Income: 58391, Poverty: 9.1
Entry(1489): County: Jones County, State: North Carolina, Total Pop: 9776, Income: 37256, Poverty: 26.4
Entry(1490): County: Jones County, State: South Dakota, Total Pop: 740, Income: 39432, Poverty: 10.8
Entry(1491): County: Jones County, State: Mississippi, Total Pop: 68328, Income: 38656, Poverty: 21.6
Entry(1492): County: Jones County, State: Texas, Total Pop: 19969, Income: 48601, Poverty: 15.9
Entry(1493): County: Josephine County, State: Oregon, Total Pop: 84514, Income: 40705, Poverty: 18.6
Entry(1494): County: Juab County, State: Utah, Total Pop: 10694, Income: 57590, Poverty: 12.8
Entry(1495): County: Juana Díaz Municipio, State: Puerto Rico, Total Pop: 47952, Income: 20228, Poverty: 47.7
Entry(1496): County: Judith Basin County, State: Montana, Total Pop: 1965, Income: 43281, Poverty: 13.9
Entry(1497): County: Juncos Municipio, State: Puerto Rico, Total Pop: 39704, Income: 18533, Poverty: 51.0
Entry(1498): County: Juneau City and Borough, State: Alaska, Total Pop: 32434, Income: 90749, Poverty: 7.4
Entry(1499): County: Juneau County, State: Wisconsin, Total Pop: 26427, Income: 48817, Poverty: 14.3
Entry(1500): County: Juniata County, State: Pennsylvania, Total Pop: 24448, Income: 50571, Poverty: 13.1
Entry(1501): County: Kalamazoo County, State: Michigan, Total Pop: 259830, Income: 51945, Poverty: 16.7
Entry(1502): County: Kalawao County, State: Hawaii, Total Pop: 86, Income: 61750, Poverty: 12.7
Entry(1503): County: Kalkaska County, State: Michigan, Total Pop: 17358, Income: 43431, Poverty: 18.5
Entry(1504): County: Kanabec County, State: Minnesota, Total Pop: 15948, Income: 50509, Poverty: 11.6
Entry(1505): County: Kanawha County, State: West Virginia, Total Pop: 187827, Income: 46859, Poverty: 16.5
Entry(1506): County: Kandiyohi County, State: Minnesota, Total Pop: 42577, Income: 56604, Poverty: 11.3
Entry(1507): County: Kane County, State: Illinois, Total Pop: 529402, Income: 74862, Poverty: 10.4
Entry(1508): County: Kane County, State: Utah, Total Pop: 7246, Income: 50266, Poverty: 11.1
Entry(1509): County: Kankakee County, State: Illinois, Total Pop: 110801, Income: 56542, Poverty: 15.1
Entry(1510): County: Karnes County, State: Texas, Total Pop: 15051, Income: 53051, Poverty: 19.3
Entry(1511): County: Kauai County, State: Hawaii, Total Pop: 71093, Income: 72330, Poverty: 9.1
Entry(1512): County: Kaufman County, State: Texas, Total Pop: 114852, Income: 63926, Poverty: 12.4
Entry(1513): County: Kay County, State: Oklahoma, Total Pop: 45173, Income: 44067, Poverty: 17.6
Entry(1514): County: Kearney County, State: Nebraska, Total Pop: 6547, Income: 53207, Poverty: 9.4
Entry(1515): County: Kearny County, State: Kansas, Total Pop: 3931, Income: 51439, Poverty: 13.2
Entry(1516): County: Keith County, State: Nebraska, Total Pop: 8129, Income: 45078, Poverty: 13.1
Entry(1517): County: Kemper County, State: Mississippi, Total Pop: 10082, Income: 27016, Poverty: 31.8
Entry(1518): County: Kenai Peninsula Borough, State: Alaska, Total Pop: 57961, Income: 65279, Poverty: 11.0
Entry(1519): County: Kendall County, State: Illinois, Total Pop: 122933, Income: 89860, Poverty: 5.6
Entry(1520): County: Kendall County, State: Texas, Total Pop: 40306, Income: 81023, Poverty: 5.7
Entry(1521): County: Kenedy County, State: Texas, Total Pop: 564, Income: 24800, Poverty: 24.8
Entry(1522): County: Kennebec County, State: Maine, Total Pop: 121289, Income: 50116, Poverty: 14.1
Entry(1523): County: Kenosha County, State: Wisconsin, Total Pop: 167886, Income: 57269, Poverty: 14.5
Entry(1524): County: Kent County, State: Delaware, Total Pop: 173145, Income: 57647, Poverty: 13.0
Entry(1525): County: Kent County, State: Maryland, Total Pop: 19666, Income: 56638, Poverty: 13.1
Entry(1526): County: Kent County, State: Michigan, Total Pop: 636376, Income: 57302, Poverty: 13.4
Entry(1527): County: Kent County, State: Rhode Island, Total Pop: 164012, Income: 69047, Poverty: 7.8
Entry(1528): County: Kent County, State: Texas, Total Pop: 680, Income: 52250, Poverty: 17.9
Entry(1529): County: Kenton County, State: Kentucky, Total Pop: 163987, Income: 58674, Poverty: 12.9
Entry(1530): County: Keokuk County, State: Iowa, Total Pop: 10223, Income: 48399, Poverty: 11.2
Entry(1531): County: Kern County, State: California, Total Pop: 878744, Income: 50826, Poverty: 22.6
Entry(1532): County: Kerr County, State: Texas, Total Pop: 50761, Income: 48698, Poverty: 13.8
Entry(1533): County: Kershaw County, State: South Carolina, Total Pop: 63734, Income: 46565, Poverty: 16.4
Entry(1534): County: Ketchikan Gateway Borough, State: Alaska, Total Pop: 13745, Income: 67321, Poverty: 10.6
Entry(1535): County: Kewaunee County, State: Wisconsin, Total Pop: 20378, Income: 60320, Poverty: 9.2
Entry(1536): County: Keweenaw County, State: Michigan, Total Pop: 2136, Income: 41118, Poverty: 14.5
Entry(1537): County: Keya Paha County, State: Nebraska, Total Pop: 720, Income: 48864, Poverty: 7.7
Entry(1538): County: Kidder County, State: North Dakota, Total Pop: 2457, Income: 60225, Poverty: 6.9
Entry(1539): County: Kimball County, State: Nebraska, Total Pop: 3688, Income: 43017, Poverty: 11.4
Entry(1540): County: Kimble County, State: Texas, Total Pop: 4432, Income: 41095, Poverty: 22.1
Entry(1541): County: King County, State: Texas, Total Pop: 289, Income: 56964, Poverty: 3.5
Entry(1542): County: King County, State: Washington, Total Pop: 2118119, Income: 83571, Poverty: 10.2
Entry(1543): County: King George County, State: Virginia, Total Pop: 25564, Income: 84770, Poverty: 5.7
Entry(1544): County: King William County, State: Virginia, Total Pop: 16329, Income: 67423, Poverty: 10.9
Entry(1545): County: King and Queen County, State: Virginia, Total Pop: 7052, Income: 51495, Poverty: 15.6
Entry(1546): County: Kingfisher County, State: Oklahoma, Total Pop: 15510, Income: 62829, Poverty: 8.9
Entry(1547): County: Kingman County, State: Kansas, Total Pop: 7576, Income: 57593, Poverty: 7.6
Entry(1548): County: Kings County, State: California, Total Pop: 150183, Income: 49742, Poverty: 20.9
Entry(1549): County: Kings County, State: New York, Total Pop: 2635121, Income: 52782, Poverty: 21.9
Entry(1550): County: Kingsbury County, State: South Dakota, Total Pop: 5000, Income: 58794, Poverty: 9.5
Entry(1551): County: Kinney County, State: Texas, Total Pop: 3631, Income: 34926, Poverty: 10.6
Entry(1552): County: Kiowa County, State: Colorado, Total Pop: 1368, Income: 39250, Poverty: 10.6
Entry(1553): County: Kiowa County, State: Kansas, Total Pop: 2524, Income: 48226, Poverty: 8.7
Entry(1554): County: Kiowa County, State: Oklahoma, Total Pop: 9127, Income: 38191, Poverty: 23.9
Entry(1555): County: Kit Carson County, State: Colorado, Total Pop: 7846, Income: 45881, Poverty: 11.5
Entry(1556): County: Kitsap County, State: Washington, Total Pop: 258903, Income: 68336, Poverty: 9.9
Entry(1557): County: Kittitas County, State: Washington, Total Pop: 43726, Income: 53163, Poverty: 19.6
Entry(1558): County: Kittson County, State: Minnesota, Total Pop: 4384, Income: 52304, Poverty: 11.2
Entry(1559): County: Klamath County, State: Oregon, Total Pop: 66018, Income: 42531, Poverty: 18.7
Entry(1560): County: Kleberg County, State: Texas, Total Pop: 31540, Income: 41700, Poverty: 23.7
Entry(1561): County: Klickitat County, State: Washington, Total Pop: 21172, Income: 51258, Poverty: 14.9
Entry(1562): County: Knott County, State: Kentucky, Total Pop: 15690, Income: 30503, Poverty: 32.6
Entry(1563): County: Knox County, State: Texas, Total Pop: 3753, Income: 46319, Poverty: 14.7
Entry(1564): County: Knox County, State: Illinois, Total Pop: 51374, Income: 41972, Poverty: 18.1
Entry(1565): County: Knox County, State: Nebraska, Total Pop: 8496, Income: 48072, Poverty: 12.3
Entry(1566): County: Knox County, State: Indiana, Total Pop: 37763, Income: 44837, Poverty: 15.6
Entry(1567): County: Knox County, State: Kentucky, Total Pop: 31424, Income: 26061, Poverty: 34.7
Entry(1568): County: Knox County, State: Maine, Total Pop: 39700, Income: 53117, Poverty: 11.6
Entry(1569): County: Knox County, State: Missouri, Total Pop: 3976, Income: 39674, Poverty: 20.2
Entry(1570): County: Knox County, State: Ohio, Total Pop: 60945, Income: 51211, Poverty: 13.8
Entry(1571): County: Knox County, State: Tennessee, Total Pop: 452286, Income: 52458, Poverty: 15.8
Entry(1572): County: Kodiak Island Borough, State: Alaska, Total Pop: 13773, Income: 74167, Poverty: 9.3
Entry(1573): County: Koochiching County, State: Minnesota, Total Pop: 12776, Income: 47131, Poverty: 17.1
Entry(1574): County: Kootenai County, State: Idaho, Total Pop: 150128, Income: 53189, Poverty: 12.6
Entry(1575): County: Kosciusko County, State: Indiana, Total Pop: 78720, Income: 57190, Poverty: 11.2
Entry(1576): County: Kossuth County, State: Iowa, Total Pop: 15166, Income: 54868, Poverty: 10.0
Entry(1577): County: Kusilvak Census Area, State: Alaska, Total Pop: 8129, Income: 36468, Poverty: 39.1
Entry(1578): County: La Crosse County, State: Wisconsin, Total Pop: 117582, Income: 54127, Poverty: 14.4
Entry(1579): County: La Paz County, State: Arizona, Total Pop: 20477, Income: 36479, Poverty: 19.7
Entry(1580): County: La Plata County, State: Colorado, Total Pop: 54469, Income: 62533, Poverty: 9.6
Entry(1581): County: La Salle County, State: Texas, Total Pop: 7418, Income: 44601, Poverty: 8.2
Entry(1582): County: LaGrange County, State: Indiana, Total Pop: 38720, Income: 58336, Poverty: 9.1
Entry(1583): County: LaMoure County, State: North Dakota, Total Pop: 4106, Income: 57463, Poverty: 10.7
Entry(1584): County: LaPorte County, State: Indiana, Total Pop: 110839, Income: 49921, Poverty: 16.6
Entry(1585): County: LaSalle County, State: Illinois, Total Pop: 111151, Income: 54693, Poverty: 13.6
Entry(1586): County: LaSalle Parish, State: Louisiana, Total Pop: 14930, Income: 34712, Poverty: 24.8
Entry(1587): County: Labette County, State: Kansas, Total Pop: 20553, Income: 45706, Poverty: 17.8
Entry(1588): County: Lac qui Parle County, State: Minnesota, Total Pop: 6840, Income: 50195, Poverty: 9.3
Entry(1589): County: Lackawanna County, State: Pennsylvania, Total Pop: 211960, Income: 48380, Poverty: 15.4
Entry(1590): County: Laclede County, State: Missouri, Total Pop: 35488, Income: 42646, Poverty: 17.7
Entry(1591): County: Lafayette County, State: Mississippi, Total Pop: 52744, Income: 45019, Poverty: 25.3
Entry(1592): County: Lafayette County, State: Missouri, Total Pop: 32655, Income: 52557, Poverty: 12.8
Entry(1593): County: Lafayette County, State: Arkansas, Total Pop: 7051, Income: 32500, Poverty: 23.8
Entry(1594): County: Lafayette County, State: Florida, Total Pop: 8684, Income: 41512, Poverty: 17.8
Entry(1595): County: Lafayette County, State: Wisconsin, Total Pop: 16755, Income: 55859, Poverty: 10.4
Entry(1596): County: Lafayette Parish, State: Louisiana, Total Pop: 238230, Income: 53950, Poverty: 16.6
Entry(1597): County: Lafourche Parish, State: Louisiana, Total Pop: 98112, Income: 52705, Poverty: 16.0
Entry(1598): County: Lajas Municipio, State: Puerto Rico, Total Pop: 23893, Income: 13896, Poverty: 60.6
Entry(1599): County: Lake County, State: Ohio, Total Pop: 229701, Income: 61137, Poverty: 8.3
Entry(1600): County: Lake County, State: South Dakota, Total Pop: 12350, Income: 58467, Poverty: 15.5
Entry(1601): County: Lake County, State: Tennessee, Total Pop: 7588, Income: 31993, Poverty: 29.9
Entry(1602): County: Lake County, State: Indiana, Total Pop: 488694, Income: 52559, Poverty: 16.8
Entry(1603): County: Lake County, State: Minnesota, Total Pop: 10578, Income: 56078, Poverty: 9.3
Entry(1604): County: Lake County, State: Montana, Total Pop: 29518, Income: 42582, Poverty: 20.9
Entry(1605): County: Lake County, State: Oregon, Total Pop: 7807, Income: 32769, Poverty: 20.0
Entry(1606): County: Lake County, State: California, Total Pop: 64095, Income: 40446, Poverty: 22.8
Entry(1607): County: Lake County, State: Colorado, Total Pop: 7481, Income: 46176, Poverty: 12.8
Entry(1608): County: Lake County, State: Florida, Total Pop: 326215, Income: 49734, Poverty: 12.8
Entry(1609): County: Lake County, State: Illinois, Total Pop: 704476, Income: 82613, Poverty: 8.5
Entry(1610): County: Lake County, State: Michigan, Total Pop: 11669, Income: 32309, Poverty: 25.0
Entry(1611): County: Lake and Peninsula Borough, State: Alaska, Total Pop: 1301, Income: 45208, Poverty: 16.5
Entry(1612): County: Lake of the Woods County, State: Minnesota, Total Pop: 3841, Income: 46943, Poverty: 7.4
Entry(1613): County: Lamar County, State: Georgia, Total Pop: 18282, Income: 41157, Poverty: 20.8
Entry(1614): County: Lamar County, State: Texas, Total Pop: 49401, Income: 42198, Poverty: 17.8
Entry(1615): County: Lamar County, State: Alabama, Total Pop: 14021, Income: 36016, Poverty: 23.1
Entry(1616): County: Lamar County, State: Mississippi, Total Pop: 60517, Income: 56129, Poverty: 16.3
Entry(1617): County: Lamb County, State: Texas, Total Pop: 13368, Income: 43712, Poverty: 20.5
Entry(1618): County: Lamoille County, State: Vermont, Total Pop: 25191, Income: 54899, Poverty: 14.0
Entry(1619): County: Lampasas County, State: Texas, Total Pop: 20473, Income: 54467, Poverty: 12.0
Entry(1620): County: Lancaster County, State: Virginia, Total Pop: 10848, Income: 51495, Poverty: 11.0
Entry(1621): County: Lancaster County, State: Nebraska, Total Pop: 306357, Income: 55747, Poverty: 14.0
Entry(1622): County: Lancaster County, State: Pennsylvania, Total Pop: 536494, Income: 61492, Poverty: 10.4
Entry(1623): County: Lancaster County, State: South Carolina, Total Pop: 86544, Income: 50557, Poverty: 15.5
Entry(1624): County: Lander County, State: Nevada, Total Pop: 5887, Income: 79865, Poverty: 13.2
Entry(1625): County: Lane County, State: Oregon, Total Pop: 363471, Income: 47710, Poverty: 18.8
Entry(1626): County: Lane County, State: Kansas, Total Pop: 1702, Income: 51765, Poverty: 10.7
Entry(1627): County: Langlade County, State: Wisconsin, Total Pop: 19190, Income: 44122, Poverty: 14.8
Entry(1628): County: Lanier County, State: Georgia, Total Pop: 10388, Income: 31109, Poverty: 28.7
Entry(1629): County: Lapeer County, State: Michigan, Total Pop: 88205, Income: 56186, Poverty: 9.7
Entry(1630): County: Laramie County, State: Wyoming, Total Pop: 97031, Income: 62879, Poverty: 10.4
Entry(1631): County: Lares Municipio, State: Puerto Rico, Total Pop: 27321, Income: 12820, Poverty: 56.4
Entry(1632): County: Larimer County, State: Colorado, Total Pop: 330976, Income: 64980, Poverty: 12.4
Entry(1633): County: Larue County, State: Kentucky, Total Pop: 14102, Income: 41720, Poverty: 15.8
Entry(1634): County: Las Animas County, State: Colorado, Total Pop: 14151, Income: 40586, Poverty: 17.0
Entry(1635): County: Las Marías Municipio, State: Puerto Rico, Total Pop: 8874, Income: 14404, Poverty: 57.6
Entry(1636): County: Las Piedras Municipio, State: Puerto Rico, Total Pop: 38253, Income: 20587, Poverty: 45.5
Entry(1637): County: Lassen County, State: California, Total Pop: 31470, Income: 54083, Poverty: 14.6
Entry(1638): County: Latah County, State: Idaho, Total Pop: 38697, Income: 43310, Poverty: 22.5
Entry(1639): County: Latimer County, State: Oklahoma, Total Pop: 10621, Income: 40539, Poverty: 18.9
Entry(1640): County: Lauderdale County, State: Tennessee, Total Pop: 26497, Income: 35551, Poverty: 23.1
Entry(1641): County: Lauderdale County, State: Alabama, Total Pop: 92590, Income: 44888, Poverty: 16.3
Entry(1642): County: Lauderdale County, State: Mississippi, Total Pop: 78221, Income: 41340, Poverty: 21.5
Entry(1643): County: Laurel County, State: Kentucky, Total Pop: 59901, Income: 37235, Poverty: 24.6
Entry(1644): County: Laurens County, State: South Carolina, Total Pop: 66508, Income: 40580, Poverty: 20.7
Entry(1645): County: Laurens County, State: Georgia, Total Pop: 47451, Income: 35202, Poverty: 27.3
Entry(1646): County: Lavaca County, State: Texas, Total Pop: 19859, Income: 51708, Poverty: 10.5
Entry(1647): County: Lawrence County, State: Illinois, Total Pop: 16457, Income: 44504, Poverty: 16.4
Entry(1648): County: Lawrence County, State: Pennsylvania, Total Pop: 88231, Income: 47188, Poverty: 14.0
Entry(1649): County: Lawrence County, State: Kentucky, Total Pop: 15844, Income: 32703, Poverty: 24.5
Entry(1650): County: Lawrence County, State: Ohio, Total Pop: 61057, Income: 45466, Poverty: 18.6
Entry(1651): County: Lawrence County, State: South Dakota, Total Pop: 25018, Income: 49275, Poverty: 12.4
Entry(1652): County: Lawrence County, State: Missouri, Total Pop: 38131, Income: 41673, Poverty: 17.1
Entry(1653): County: Lawrence County, State: Tennessee, Total Pop: 42591, Income: 41522, Poverty: 18.3
Entry(1654): County: Lawrence County, State: Arkansas, Total Pop: 16777, Income: 37603, Poverty: 18.4
Entry(1655): County: Lawrence County, State: Indiana, Total Pop: 45669, Income: 49985, Poverty: 11.5
Entry(1656): County: Lawrence County, State: Alabama, Total Pop: 33288, Income: 43779, Poverty: 16.6
Entry(1657): County: Lawrence County, State: Mississippi, Total Pop: 12659, Income: 40432, Poverty: 19.8
Entry(1658): County: Le Flore County, State: Oklahoma, Total Pop: 49860, Income: 39253, Poverty: 22.2
Entry(1659): County: Le Sueur County, State: Minnesota, Total Pop: 27810, Income: 65500, Poverty: 8.8
Entry(1660): County: Lea County, State: New Mexico, Total Pop: 69505, Income: 59285, Poverty: 16.1
Entry(1661): County: Leake County, State: Mississippi, Total Pop: 22936, Income: 35578, Poverty: 25.1
Entry(1662): County: Leavenworth County, State: Kansas, Total Pop: 79359, Income: 70022, Poverty: 9.0
Entry(1663): County: Lebanon County, State: Pennsylvania, Total Pop: 137616, Income: 57698, Poverty: 10.5
Entry(1664): County: Lee County, State: Alabama, Total Pop: 156597, Income: 47564, Poverty: 22.0
Entry(1665): County: Lee County, State: Illinois, Total Pop: 34670, Income: 58319, Poverty: 11.8
Entry(1666): County: Lee County, State: Mississippi, Total Pop: 84840, Income: 45985, Poverty: 17.3
Entry(1667): County: Lee County, State: South Carolina, Total Pop: 17897, Income: 31963, Poverty: 26.4
Entry(1668): County: Lee County, State: Texas, Total Pop: 16850, Income: 55741, Poverty: 13.8
Entry(1669): County: Lee County, State: Virginia, Total Pop: 24428, Income: 32590, Poverty: 26.2
Entry(1670): County: Lee County, State: Kentucky, Total Pop: 6717, Income: 23297, Poverty: 32.7
Entry(1671): County: Lee County, State: North Carolina, Total Pop: 59805, Income: 49272, Poverty: 17.5
Entry(1672): County: Lee County, State: Arkansas, Total Pop: 9614, Income: 27901, Poverty: 27.3
Entry(1673): County: Lee County, State: Florida, Total Pop: 700165, Income: 52052, Poverty: 14.9
Entry(1674): County: Lee County, State: Georgia, Total Pop: 29216, Income: 65018, Poverty: 11.6
Entry(1675): County: Lee County, State: Iowa, Total Pop: 34785, Income: 48266, Poverty: 16.3
Entry(1676): County: Leelanau County, State: Michigan, Total Pop: 21564, Income: 62646, Poverty: 7.7
Entry(1677): County: Leflore County, State: Mississippi, Total Pop: 30113, Income: 25210, Poverty: 40.3
Entry(1678): County: Lehigh County, State: Pennsylvania, Total Pop: 360774, Income: 60116, Poverty: 13.3
Entry(1679): County: Lemhi County, State: Idaho, Total Pop: 7755, Income: 36031, Poverty: 17.1
Entry(1680): County: Lenawee County, State: Michigan, Total Pop: 98585, Income: 51339, Poverty: 13.7
Entry(1681): County: Lenoir County, State: North Carolina, Total Pop: 57934, Income: 37515, Poverty: 22.3
Entry(1682): County: Leon County, State: Florida, Total Pop: 285890, Income: 49941, Poverty: 20.5
Entry(1683): County: Leon County, State: Texas, Total Pop: 16966, Income: 44875, Poverty: 16.3
Entry(1684): County: Leslie County, State: Kentucky, Total Pop: 10648, Income: 27861, Poverty: 34.5
Entry(1685): County: Letcher County, State: Kentucky, Total Pop: 23011, Income: 30293, Poverty: 30.5
Entry(1686): County: Levy County, State: Florida, Total Pop: 39713, Income: 36554, Poverty: 21.9
Entry(1687): County: Lewis County, State: Kentucky, Total Pop: 13565, Income: 32054, Poverty: 26.1
Entry(1688): County: Lewis County, State: Idaho, Total Pop: 3824, Income: 40313, Poverty: 15.3
Entry(1689): County: Lewis County, State: New York, Total Pop: 26845, Income: 51475, Poverty: 14.2
Entry(1690): County: Lewis County, State: West Virginia, Total Pop: 16371, Income: 39793, Poverty: 19.8
Entry(1691): County: Lewis County, State: Missouri, Total Pop: 10078, Income: 47148, Poverty: 15.2
Entry(1692): County: Lewis County, State: Tennessee, Total Pop: 11944, Income: 37092, Poverty: 22.1
Entry(1693): County: Lewis County, State: Washington, Total Pop: 76012, Income: 46387, Poverty: 16.0
Entry(1694): County: Lewis and Clark County, State: Montana, Total Pop: 66290, Income: 60789, Poverty: 11.4
Entry(1695): County: Lexington County, State: South Carolina, Total Pop: 281870, Income: 57482, Poverty: 12.8
Entry(1696): County: Lexington city, State: Virginia, Total Pop: 7113, Income: 37309, Poverty: 21.4
Entry(1697): County: Liberty County, State: Georgia, Total Pop: 62120, Income: 43493, Poverty: 16.6
Entry(1698): County: Liberty County, State: Florida, Total Pop: 8347, Income: 36741, Poverty: 17.8
Entry(1699): County: Liberty County, State: Montana, Total Pop: 2245, Income: 46641, Poverty: 13.9
Entry(1700): County: Liberty County, State: Texas, Total Pop: 79884, Income: 48344, Poverty: 16.2
Entry(1701): County: Licking County, State: Ohio, Total Pop: 170678, Income: 59747, Poverty: 11.8
Entry(1702): County: Limestone County, State: Alabama, Total Pop: 91695, Income: 52831, Poverty: 14.8
Entry(1703): County: Limestone County, State: Texas, Total Pop: 23480, Income: 40356, Poverty: 20.7
Entry(1704): County: Lincoln County, State: Arkansas, Total Pop: 13885, Income: 38873, Poverty: 17.9
Entry(1705): County: Lincoln County, State: Kansas, Total Pop: 3121, Income: 48693, Poverty: 8.4
Entry(1706): County: Lincoln County, State: Nevada, Total Pop: 5203, Income: 52971, Poverty: 12.1
Entry(1707): County: Lincoln County, State: Wyoming, Total Pop: 18791, Income: 63756, Poverty: 9.3
Entry(1708): County: Lincoln County, State: Colorado, Total Pop: 5520, Income: 44725, Poverty: 14.0
Entry(1709): County: Lincoln County, State: Georgia, Total Pop: 7768, Income: 37711, Poverty: 23.0
Entry(1710): County: Lincoln County, State: Kentucky, Total Pop: 24413, Income: 37930, Poverty: 23.8
Entry(1711): County: Lincoln County, State: Oklahoma, Total Pop: 34759, Income: 47539, Poverty: 14.3
Entry(1712): County: Lincoln County, State: Wisconsin, Total Pop: 27994, Income: 54203, Poverty: 9.2
Entry(1713): County: Lincoln County, State: Idaho, Total Pop: 5296, Income: 46383, Poverty: 11.5
Entry(1714): County: Lincoln County, State: South Dakota, Total Pop: 53147, Income: 81849, Poverty: 3.0
Entry(1715): County: Lincoln County, State: Mississippi, Total Pop: 34542, Income: 37308, Poverty: 23.6
Entry(1716): County: Lincoln County, State: Oregon, Total Pop: 47307, Income: 43291, Poverty: 18.4
Entry(1717): County: Lincoln County, State: West Virginia, Total Pop: 21241, Income: 37075, Poverty: 24.9
Entry(1718): County: Lincoln County, State: Maine, Total Pop: 34021, Income: 54041, Poverty: 11.8
Entry(1719): County: Lincoln County, State: Minnesota, Total Pop: 5724, Income: 51102, Poverty: 11.4
Entry(1720): County: Lincoln County, State: Missouri, Total Pop: 54800, Income: 58603, Poverty: 13.2
Entry(1721): County: Lincoln County, State: Montana, Total Pop: 19249, Income: 36934, Poverty: 16.4
Entry(1722): County: Lincoln County, State: Nebraska, Total Pop: 35569, Income: 55875, Poverty: 12.6
Entry(1723): County: Lincoln County, State: New Mexico, Total Pop: 19497, Income: 42145, Poverty: 15.4
Entry(1724): County: Lincoln County, State: North Carolina, Total Pop: 80504, Income: 50782, Poverty: 15.2
Entry(1725): County: Lincoln County, State: Tennessee, Total Pop: 33543, Income: 42153, Poverty: 16.9
Entry(1726): County: Lincoln County, State: Washington, Total Pop: 10344, Income: 49460, Poverty: 13.7
Entry(1727): County: Lincoln Parish, State: Louisiana, Total Pop: 47536, Income: 34424, Poverty: 31.2
Entry(1728): County: Linn County, State: Iowa, Total Pop: 220008, Income: 62702, Poverty: 9.5
Entry(1729): County: Linn County, State: Missouri, Total Pop: 12248, Income: 41652, Poverty: 16.5
Entry(1730): County: Linn County, State: Kansas, Total Pop: 9602, Income: 46576, Poverty: 17.4
Entry(1731): County: Linn County, State: Oregon, Total Pop: 121074, Income: 49515, Poverty: 16.1
Entry(1732): County: Lipscomb County, State: Texas, Total Pop: 3495, Income: 59583, Poverty: 10.5
Entry(1733): County: Litchfield County, State: Connecticut, Total Pop: 184454, Income: 76438, Poverty: 6.8
Entry(1734): County: Little River County, State: Arkansas, Total Pop: 12494, Income: 36963, Poverty: 18.8
Entry(1735): County: Live Oak County, State: Texas, Total Pop: 12043, Income: 51480, Poverty: 16.3
Entry(1736): County: Livingston County, State: Missouri, Total Pop: 15025, Income: 45929, Poverty: 17.9
Entry(1737): County: Livingston County, State: Illinois, Total Pop: 36812, Income: 54339, Poverty: 13.3
Entry(1738): County: Livingston County, State: Kentucky, Total Pop: 9288, Income: 43472, Poverty: 16.2
Entry(1739): County: Livingston County, State: Michigan, Total Pop: 186946, Income: 78430, Poverty: 5.9
Entry(1740): County: Livingston County, State: New York, Total Pop: 64373, Income: 53654, Poverty: 14.6
Entry(1741): County: Livingston Parish, State: Louisiana, Total Pop: 137096, Income: 60456, Poverty: 13.2
Entry(1742): County: Llano County, State: Texas, Total Pop: 20195, Income: 50524, Poverty: 12.5
Entry(1743): County: Logan County, State: Nebraska, Total Pop: 919, Income: 50278, Poverty: 9.7
Entry(1744): County: Logan County, State: Arkansas, Total Pop: 21802, Income: 37982, Poverty: 20.2
Entry(1745): County: Logan County, State: Colorado, Total Pop: 21885, Income: 44876, Poverty: 16.8
Entry(1746): County: Logan County, State: Kansas, Total Pop: 2790, Income: 49926, Poverty: 8.9
Entry(1747): County: Logan County, State: Oklahoma, Total Pop: 45326, Income: 59133, Poverty: 13.2
Entry(1748): County: Logan County, State: Illinois, Total Pop: 29488, Income: 58271, Poverty: 9.2
Entry(1749): County: Logan County, State: Kentucky, Total Pop: 26847, Income: 40982, Poverty: 17.4
